Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
53.6,3230501897,1,3230501897.0,3230501897.0,3230501897,3230501897,0.0,PushPop,:Main
42.1,2541561346,12971,195941.8,4375.0,283,6363508,452568.8,PushPop,:Communication
4.3,259423014,1,259423014.0,259423014.0,259423014,259423014,0.0,PushPop,:IO
