Time (%),Total Time (s),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.0,14.1358896,1,14135889571.0,14135889571.0,14135889571,14135889571,0.0,PushPop,:Main
49.1,13.8740207,1,13874020702.0,13874020702.0,13874020702,13874020702,0.0,PushPop,:Compute
0.9,0.261326079,1,261326079.0,261326079.0,261326079,261326079,0.0,PushPop,:IO
