Time (%),Total Time (s),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.0,7.17657697,1,7176576965.0,7176576965.0,7176576965,7176576965,0.0,PushPop,:Main
48.2,6.91372422,1,6913724221.0,6913724221.0,6913724221,6913724221,0.0,PushPop,:Compute
1.8,0.262372705,1,262372705.0,262372705.0,262372705,262372705,0.0,PushPop,:IO
