Time (%),Total Time (s),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.0,28.0897762,1,28089776197.0,28089776197.0,28089776197,28089776197,0.0,PushPop,:Main
49.5,27.8172297,1,27817229742.0,27817229742.0,27817229742,27817229742,0.0,PushPop,:Compute
0.5,0.272093649 ,1,272093649.0,272093649.0,272093649,272093649,0.0,PushPop,:IO
