Time (%),Total Time (s),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.0,37.138932,1,37138931955.0,37138931955.0,37138931955,37138931955,0.0,PushPop,:Main
50.0,37.1079742,1,37107974209.0,37107974209.0,37107974209,37107974209,0.0,PushPop,:Compute
0.0,0.030861583,1,30861583.0,30861583.0,30861583,30861583,0.0,PushPop,:IO
