Time (%),Total Time (s),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.0,18.9818888,1,18981888754.0,18981888754.0,18981888754,18981888754,0.0,PushPop,:Main
49.9,18.9509943,1,18950994253.0,18950994253.0,18950994253,18950994253,0.0,PushPop,:Compute
0.1,0.030790128,1,30790128.0,30790128.0,30790128,30790128,0.0,PushPop,:IO
