Time (%),Total Time (s),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.0,5.28962948,1,5289629483.0,5289629483.0,5289629483,5289629483,0.0,PushPop,:Main
49.7,5.25783438,1,5257834380.0,5257834380.0,5257834380,5257834380,0.0,PushPop,:Compute
0.3,0.031693718,1,31693718.0,31693718.0,31693718,31693718,0.0,PushPop,:IO
