Time (%),Total Time (s),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
52.5,4.67403293,1,4674032934.0,4674032934.0,4674032934,4674032934,0.0,PushPop,:Main
44.5,3.96473984,12967,305756.1,4252.0,288,6240304,710606.5,PushPop,:Communication
3.0,0.266783932,1,266783932.0,266783932.0,266783932,266783932,0.0,PushPop,:IO
