Time (%),Total Time (s),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.8,9.84944104,1,9849441042.0,9849441042.0,9849441042,9849441042,0.0,PushPop,:Main
47.8,9.2663247,12963,714828.7,4232.0,339,13693623,1343871.2,PushPop,:Communication
1.3,0.26156404 ,1,261564040.0,261564040.0,261564040,261564040,0.0,PushPop,:IO
